chunk_id,knowledge_file,section_label,source_traceability_present,human_review_status_present,export_candidate,recorded_review_state,blocking_reason,required_next_evidence,readiness_note,classification_vocabulary
summary-01,knowledge/01_START_HERE_AND_POSITIONING.md,clinician_facing_summary,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-03,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,clinician_facing_summary,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-08,knowledge/08_THRESHOLDS_AND_CONDITIONS.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-09,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,clinician_facing_summary_and_usage_context,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-12,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,clinician_facing_summary_and_validation_rationale,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-13,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,clinician_facing_summary_and_audit_purpose,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-04,knowledge/04_DISEASE_NOTES.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-04-01,knowledge/04_DISEASE_NOTES.md,practical_reasoning_section,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-05,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-05-01,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,practical_reasoning_section,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-06,knowledge/06_PATIENT_STATE_NOTES.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-06-01,knowledge/06_PATIENT_STATE_NOTES.md,practical_reasoning_section,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-07,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-07-01,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,practical_reasoning_section,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-10,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-10-01,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,practical_reasoning_section,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-11,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,clinician_facing_summary_and_reasoning,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
summary-11-01,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,practical_reasoning_section,yes,no,no,draft_unassigned,human_review_not_recorded;preview_pending;facility_pending,operator_preview_review_and_facility_confirmation,operator-side candidate ledger only; not a Knowledge upload target,adapted_boundary_port
