file_path,line_or_section,original_expression,expression_type,current_context,proposed_japanese_expression,auto_rewrite_allowed,clinical_meaning_change_risk,human_review_required,priority,status,reviewer,review_date,notes
GLOBAL,style_rule,operator-side,audit_term,operator-side governance wording,運用者向けの位置づけと禁止事項,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-007 applied knowledge/01 L116
GLOBAL,style_rule,boundary export,audit_term,derived boundary transfer,安全境界の転記,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,upload safe,audit_term,upload eligibility wording,Knowledge投入可否,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,Applied in knowledge/01_START_HERE_AND_POSITIONING.md (JP-STYLE-01-001)
GLOBAL,style_rule,reference-only,audit_term,reference parking status,参考資料扱い,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-003 applied knowledge/01 L129
GLOBAL,style_rule,hold,audit_term,export hold status,投入保留,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-003 applied knowledge/01 L129
GLOBAL,style_rule,negative knowledge,audit_term,safety misread prevention,誤読防止用の陰性知識（negative knowledge）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,Applied in knowledge/03 (JP-STYLE-03-001)
GLOBAL,style_rule,clinician-facing summary,audit_term,summary section heading,医療従事者向け要約（clinician-facing summary）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-002 knowledge/09; JP-STYLE-13-002 knowledge/13
GLOBAL,style_rule,source corpus,audit_term,source package wording,元資料群,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,derived export,audit_term,derived package wording,派生成果物としてKnowledgeに反映できる要約ファイル,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-005 knowledge/01 L121; JP-STYLE-09-003 knowledge/09 L114
GLOBAL,style_rule,migration ledger,audit_term,traceability ledger,移行判断台帳,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,blind copy,audit_term,unsafe copy warning,内容確認なしにKnowledgeへ転記しない,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-09-003 knowledge/09 CHILD/PARENT
GLOBAL,style_rule,runtime fetch,audit_term,external source retrieval at answer time,回答時の外部取得,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,preview promotion,audit_term,review-state promotion after Preview,Preview承認後の昇格,yes,low,yes,high,NEEDS_REVIEW,,,
GLOBAL,style_rule,shortcut,audit_term,unsafe reasoning shortcut,短絡（shortcut）,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-03-002 applied knowledge/03
GLOBAL,style_rule,workflow,clinical_english,operation flow,運用フロー,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,routine,clinical_english,routine treatment/operation,一律運用 / 定型化,conditional,medium,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-05-002 knowledge/05 L92 L99; JP-STYLE-03-003 knowledge/03 L76; JP-STYLE-09-001 knowledge/09 L88
GLOBAL,style_rule,order set,clinical_english,EHR order grouping,オーダーセット,yes,low,yes,high,NEEDS_REVIEW,,,
GLOBAL,style_rule,reversal,clinical_english,anticoagulant reversal context,中和・拮抗・代替対応,conditional,medium,yes,high,HUMAN_REVIEW_REQUIRED,,,
GLOBAL,style_rule,de-escalation,clinical_english,antimicrobial narrowing,抗菌薬の狭域化（de-escalation）,conditional,medium,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,Applied in knowledge/05 (JP-STYLE-05-001)
GLOBAL,style_rule,antibiogram,clinical_english,facility susceptibility data,施設・地域の薬剤感受性傾向をまとめた資料（antibiogram）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-05-001 knowledge/05; JP-STYLE-04-002 knowledge/04 L162; JP-STYLE-09-003 knowledge/09 L61
GLOBAL,style_rule,high-risk,audit_term,risk classification,高リスク,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,must-have,audit_term,Preview required element,必須確認項目,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,must-not-have,audit_term,Preview forbidden element,禁止回答項目,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,pass/fail,audit_term,test result,合否,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,validation,audit_term,validator result,検証,yes,low,yes,medium,NEEDS_REVIEW,,,
GLOBAL,style_rule,release ready,audit_term,release readiness,公開可能状態（release readiness）,conditional,medium,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-13-001 applied knowledge/13 L90
knowledge/01_START_HERE_AND_POSITIONING.md,Stage 4 boundary,upload safe,audit_term,validation pass and ledger registration are not upload safe,Knowledge投入可否,yes,low,yes,high,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-01-001
knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,role section,negative knowledge,audit_term,high-risk misread prevention,誤読を防ぐための注意事項（negative knowledge）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-03-001
knowledge/04_DISEASE_NOTES.md,TBI section,workflow,clinical_english,facility trauma workflow,運用フロー,yes,low,yes,medium,NEEDS_REVIEW,,,
knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,antimicrobial sections,antibiogram,clinical_english,facility antibiogram confirmation,施設・地域の薬剤感受性傾向をまとめた資料（antibiogram）,yes,low,yes,medium,REVISED_AND_APPLIED_AFTER_HUMAN_REVIEW,,2026-06-05,JP-STYLE-05-001
