knowledge_file,target_section_id,target_section_label,provenance_scope,source_paths,source_section_refs,provenance_type,naturalization_role,safety_boundary_basis,stylistic_naturalization_basis,review_status,reviewer,review_date,change_trigger,version_note
knowledge/01_START_HERE_AND_POSITIONING.md,summary-01,clinician_facing_summary,summary_layer,"references/neurosurgery_qc_package/final_qc_manifest.json;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/README.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/README.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/01_positioning_warnings_negative.md","package manifest positioning; package README positioning; vault README boundary framing; upload bundle positioning and warning section",multi_source_summary,clinician-facing introduction,"retain not-a-guideline, not-a-procedure, and human-review boundary","reorder opening so package purpose and usage are stated before audit phrasing",draft,unassigned,unassigned,initial_provenance_bootstrap,Initial pilot entry for summary layer provenance
knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,summary-03,clinician_facing_summary,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/01_positioning_warnings_negative.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/08_Negative_Knowledge/Layer2薬剤_標準化しない事項.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/03_drugs_drug_classes.md","global warnings section; layer2 standardization-prohibition notes; drug bundle high-risk segments",multi_source_summary,high-risk reasoning seed,"preserve explicit shortcut prohibitions and negative knowledge intent","shift the opening from fail-list tone to decision-point framing without weakening prohibitions",draft,unassigned,unassigned,initial_provenance_bootstrap,Initial pilot entry for summary layer provenance
knowledge/08_THRESHOLDS_AND_CONDITIONS.md,summary-08,clinician_facing_summary_and_reasoning,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/conditions_thresholds_audit_master.csv","threshold and condition bundle segment; conditions thresholds audit master",source_faithful_paraphrase,threshold-interpretation framing,"preserve thresholds-as-conditions-not-recommendations boundary","explain how to use thresholds as branching aids rather than as standalone recommendations",draft,unassigned,unassigned,initial_provenance_bootstrap,Initial pilot entry for summary layer provenance
knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,summary-09,clinician_facing_summary_and_usage_context,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/PMDA電子添文チェックリスト.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/RMP_安全性情報チェックリスト.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Guideline_Checklists/国内脳卒中GLチェックリスト.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/CRASH-3チェックリスト.md","evidence and primary-source bundle segment; PMDA checklist; RMP checklist; domestic guideline checklist; CRASH-3 checklist",multi_source_summary,evidence-source selection framing,"preserve source-role separation and non-substitution for facility operability","move from checklist-only tone to explain-which-source-for-which-question framing",draft,unassigned,unassigned,initial_provenance_bootstrap,Initial pilot entry for summary layer provenance
knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,summary-12,clinician_facing_summary_and_validation_rationale,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/高リスク誤回答テスト_拡張版.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/Layer2薬剤誤回答テスト.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/91_AI_Error_Tests/Validation_Audit_Operations_誤回答テスト.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/validation_ai_error_tests.csv","high-risk error suite; layer2 error suite; validation audit operations suite; validation ai error tests master",multi_source_summary,validation rationale,"preserve hard fail conditions around unsafe certainty and over-implementation","add why-dangerous and expected-answer-direction framing before the fail list",draft,unassigned,unassigned,initial_provenance_bootstrap,Initial pilot entry for summary layer provenance
knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,summary-13,clinician_facing_summary_and_audit_purpose,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/RAG_Export監査チェックリスト.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/更新トリガー監査表.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/90_Audit/監査ログテンプレート.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Validation_Reports/final_qc_report.md","RAG export audit checklist; update trigger audit table; audit log template; final QC report",multi_source_summary,audit and update framing,"preserve explicit update triggers, logging requirements, and human review traceability","explain why audit exists before listing operational requirements",draft,unassigned,unassigned,initial_provenance_bootstrap,Initial pilot entry for summary layer provenance
knowledge/04_DISEASE_NOTES.md,summary-04,clinician_facing_summary_and_reasoning,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/02_diseases_patient_states_procedures.md","disease notes segment from upload bundle 02",source_faithful_paraphrase,disease-context framing,"preserve disease-does-not-equal-drug-choice boundary and cross-reference requirement","reframe the opening as problem-setting guidance before disease-specific checklist content",draft,unassigned,unassigned,pilot_expansion_04_05_06_07_10_11,Initial pilot entry for disease notes summary provenance
knowledge/04_DISEASE_NOTES.md,summary-04-01,practical_reasoning_section,secondary_naturalized_section,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/02_diseases_patient_states_procedures.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md","disease notes segment from upload bundle 02; cross-reference expectations reflected through evidence and condition bundle usage",multi_source_summary,disease-to-branch reasoning,"preserve disease-specific branching and do-not-generalize guardrails","explain how disease framing leads into exposure, threshold, procedure, and facility checks",draft,unassigned,unassigned,secondary_section_pilot_04_05_06_07_10_11,Secondary naturalized provenance entry for the practical reasoning section
knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,summary-05,clinician_facing_summary_and_reasoning,summary_layer,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/03_drugs_drug_classes.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/layer1_drug_notes_master.csv;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/layer2_indexed_drug_master.csv;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/08_Negative_Knowledge/Layer2薬剤_標準化しない事項.md","drug classes bundle segment; layer1 drug notes master; layer2 indexed drug master; layer2 standardization-prohibition notes",multi_source_summary,drug-name caution framing,"preserve no-drug-name-only conclusion boundary and explicit non-standardization constraints","turn the opening into a verification-first framing rather than a candidate list introduction",draft,unassigned,unassigned,pilot_expansion_04_05_06_07_10_11,Initial pilot entry for drug notes summary provenance
knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,summary-05-01,practical_reasoning_section,secondary_naturalized_section,"references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/03_drugs_drug_classes.md;references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/08_Negative_Knowledge/Layer2薬剤_標準化しない事項.md","drug classes bundle segment; layer2 standardization-prohibition notes",multi_source_summary,drug-name-to-context reasoning,"preserve class-specific splitting and anti-shortcut drug-name warnings","explain why a drug name can start the search but cannot become the conclusion",draft,unassigned,unassigned,secondary_section_pilot_04_05_06_07_10_11,Secondary naturalized provenance entry for the practical reasoning section
