gap_drug_key,gap_japanese_name,gap_source_status,child_in_inventory,child_pmda_product_url,child_product_name,child_source_status,child_pilot_batch_ids,overlap_category,reconcile_eligible,product_match_note,planned_micro_batch
edaravone,エダラボン,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-001
ozagrel,オザグレルナトリウム,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-001
fasudil,ファスジル塩酸塩,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-002
clazosentan,クラゾセンタンナトリウム,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-001
alteplase,アルテプラーゼ,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/3959402D1027?user=1,アクチバシン注600万,verified_primary_source,A-PMDA-007,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-002
argatroban,アルガトロバン水和物,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/2190408A2034?user=1,ノバスタンHI注10mg/2mL,verified_primary_source,A-PMDA-006,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-003
urokinase,ウロキナーゼ,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/3954400D4080?user=1,ウロナーゼ静注用6万単位,verified_primary_source,A-PMDA-007,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-003
nimodipine,ニモジピン,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-002
diazepam,ジアゼパム,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/bookSearch/01/04987211257859,ホリゾン注射液10mg,verified_primary_source,A-PMDA-004,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-004
lorazepam,ロラゼパム,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/bookSearch/01/04987114553492,ワイパックス錠1.0,verified_primary_source,A-PMDA-004,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-004
phenobarbital,フェノバルビタール,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/bookSearch/01/04987081741502,フェノバール錠30mg,verified_primary_source,A-PMDA-004,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-004
clobazam,クロバザム,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/bookSearch/01/04987116563680,マイスタン錠10mg,verified_primary_source,A-PMDA-003,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
thiopental,チオペンタールナトリウム,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-005+
thiamylal,チアミラールナトリウム,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-005+
pentobarbital,ペントバルビタール,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-005+
remimazolam,レミマゾラム,manual_review_required,no,,,,,gap_only,manual_pmda_url_required,,G-005+
ketamine,ケタミン,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/1119400A3026?user=1,ケタラール静注用50mg,verified_primary_source,A-PMDA-023,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
rocuronium,ロクロニウム臭化物,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/1229405A1028?user=1,エスラックス静注25mg/2.5mL,verified_primary_source,A-PMDA-023,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
sugammadex,スガマデクスナトリウム,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/3929409A1023?user=1,ブリディオン静注200mg,verified_primary_source,A-PMDA-023,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
vitamin_k,ビタミンK製剤,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/3160401A6041?user=1,ケイツーN静注10mg,verified_primary_source,A-PMDA-011,gap_only,manual_pmda_url_required,,G-005+
cryoprecipitate,クリオプレシピテート,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6342406X9026?user=1,（院内作製）クリオプレシピテート（原料：新鮮凍結血漿−LR「日赤」480）,verified_primary_source,A-PMDA-010,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-013
red_blood_cell_concentrate,赤血球濃厚液,manual_review_required,yes,https://www.pmda.go.jp/PmdaSearch/rdSearch/02/6342405X3031?user=1,赤血球液-LR「日赤」（1単位）,verified_primary_source,A-PMDA-010,child_primary_verified,reconcile_copy_pending,verify_same_formulation_before_gap_transfer,G-005+
