chunk_id,knowledge_file,section_id,section_label,review_state,reviewer_role,review_evidence_link,blockers,release_readiness,resolution_status
summary-01,knowledge/01_START_HERE_AND_POSITIONING.md,summary-01,clinician_facing_summary,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-03,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,summary-03,clinician_facing_summary,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-08,knowledge/08_THRESHOLDS_AND_CONDITIONS.md,summary-08,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-09,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,summary-09,clinician_facing_summary_and_usage_context,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-12,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,summary-12,clinician_facing_summary_and_validation_rationale,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-13,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,summary-13,clinician_facing_summary_and_audit_purpose,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-04,knowledge/04_DISEASE_NOTES.md,summary-04,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-04-01,knowledge/04_DISEASE_NOTES.md,summary-04-01,practical_reasoning_section,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-05,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,summary-05,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-05-01,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,summary-05-01,practical_reasoning_section,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-06,knowledge/06_PATIENT_STATE_NOTES.md,summary-06,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-06-01,knowledge/06_PATIENT_STATE_NOTES.md,summary-06-01,practical_reasoning_section,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-07,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,summary-07,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-07-01,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,summary-07-01,practical_reasoning_section,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-10,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,summary-10,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-10-01,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,summary-10-01,practical_reasoning_section,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-11,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,summary-11,clinician_facing_summary_and_reasoning,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
summary-11-01,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,summary-11-01,practical_reasoning_section,source_verified,unassigned,,preview_review_pending,repo_local_only,pending_preview_review
