drug_key,corpus,planned_c_batch,gap_g_batch_ref
acetaminophen,child,C-014,
acyclovir,child,C-008,
albumin,gap|child,C-011,
alteplase,gap|child,C-004,
aminocaproic_acid,,C-006,
amlodipine,child,C-008,
amphotericin_b,child,C-007,
ampicillin,gap|child,C-008,
andexanet_alfa,child,C-005,
apcc_class,child,C-014,
apixaban,child,C-003,
argatroban,gap|child,C-004,
aspirin,child,C-004,
atorvastatin,child,C-014,
bisoprolol,child,C-014,
calcium_gluconate,child,C-011,
carbamazepine,child,C-001,
cefazolin,child,C-014,
cefepime,child,C-014,
cefotaxime,gap|child,C-007,
ceftazidime,child,C-006,
ceftriaxone,child,C-006,
cilostazol,child,C-014,
ciprofloxacin,child,C-014,
clazosentan,gap,C-011,
clevidipine,child,C-015,
clobazam,gap|child,C-002,
clopidogrel,child,C-004,
cryoprecipitate,gap|child,C-005,
dabigatran,child,C-003,
dalteparin,child,C-003,
daptomycin,child,C-007,
desmopressin,child,C-006,
dexamethasone,child,C-015,
dexmedetomidine,child,C-010,
diazepam,gap|child,C-002,
dobutamine,child,C-009,
dopamine,child,C-009,
edaravone,gap,C-011,
edoxaban,child,C-003,
enalapril,child,C-015,
enoxaparin,child,C-003,
epinephrine,child,C-009,
esmolol,gap|child,C-009,
famotidine,child,C-015,
fasudil,gap,C-012,
fentanyl,child,C-010,
fibrinogen_product,child,C-005,
fluconazole,,C-007,
fludrocortisone,gap,C-012,
fondaparinux,child,C-004,
fosphenytoin,child,C-001,
fresh_frozen_plasma,child,C-005,
furosemide,gap|child,C-008,
glucose,child,C-011,
glycerol,child,C-008,
haloperidol,child,C-010,
hydrocortisone,child,C-009,
hydromorphone,child,C-015,
hypertonic_saline_class,child,C-015,
idarucizumab,child,C-005,
insulin_class,child,C-015,
ketamine,gap|child,C-010,
labetalol,child,C-008,
lacosamide,child,C-001,
lactulose,child,C-015,
lamotrigine,child,C-002,
landiolol,gap|child,C-009,
lansoprazole,child,C-016,
levetiracetam,child,C-001,
levofloxacin,gap|child,C-012,
levothyroxine,gap|child,C-012,
linezolid,child,C-007,
lorazepam,gap|child,C-002,
magnesium_oxide,child,C-016,
magnesium_sulfate,,C-011,
mannitol,child,C-008,
meropenem,child,C-006,
methylprednisolone,child,C-016,
metoclopramide,child,C-016,
metronidazole,gap|child,C-007,
micafungin,child,C-016,
midazolam,child,C-002,
milrinone,child,C-016,
morphine,child,C-016,
nicardipine,child,C-016,
nimodipine,gap,C-012,
nitroglycerin,gap|child,C-012,
nitroprusside,gap|child,C-009,
norepinephrine,child,C-008,
nsaids_class,child,C-017,
olanzapine,child,C-017,
olmesartan,child,C-017,
oxycodone,child,C-010,
ozagrel,gap,C-012,
pcc_class,child,C-017,
pentobarbital,gap,C-012,
perampanel,child,C-001,
phenobarbital,gap|child,C-002,
phenytoin,child,C-001,
piperacillin_tazobactam,child,C-007,
platelet_transfusion,child,C-005,
potassium_chloride,,C-011,
prasugrel,child,C-004,
propofol,child,C-010,
protamine,child,C-005,
quetiapine,child,C-017,
red_blood_cell_concentrate,gap|child,C-005,
remifentanil,child,C-017,
remimazolam,gap,C-013,
rfviia,child,C-006,
risperidone,child,C-017,
rivaroxaban,child,C-003,
rocuronium,gap|child,C-013,
rosuvastatin,child,C-017,
sarpogrelate,child,C-018,
sennoside,child,C-018,
sodium_bicarbonate,child,C-018,
sodium_polystyrene_sulfonate,child,C-010,
sodium_zirconium_cyclosilicate,child,C-010,
sugammadex,gap|child,C-013,
sulbactam_ampicillin,gap|child,C-013,
sulfamethoxazole_trimethoprim,child,C-018,
teicoplanin,child,C-006,
telmisartan,child,C-018,
thiamylal,gap,C-013,
thiopental,gap,C-013,
ticagrelor,child,C-004,
tolvaptan,gap|child,C-011,
topiramate,child,C-001,
tranexamic_acid,child,C-006,
trazodone,child,C-018,
unfractionated_heparin,child,C-003,
urokinase,gap|child,C-004,
valproate,child,C-001,
vancomycin,child,C-002,
vasopressin,child,C-009,
vitamin_k,gap|child,C-013,
voriconazole,child,C-007,
warfarin,child,C-003,
zonisamide,child,C-002,
