drug_key,japanese_name,english_name,generic_name,drug_class,product_or_class,input_candidate_status,search_query,pmda_search_url,pmda_product_url,product_name,generic_name_pmda,manufacturer,formulation,strength,approval_or_listing_status,source_status,last_source_check_date,human_review_required,facility_confirmation_required,notes
levetiracetam,レベチラセタム,levetiracetam,levetiracetam,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,レベチラセタム OR levetiracetam OR levetiracetam OR LEV,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
lacosamide,ラコサミド,lacosamide,lacosamide,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ラコサミド OR lacosamide OR lacosamide OR LCM,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
phenytoin,フェニトイン,phenytoin,phenytoin,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,フェニトイン OR phenytoin OR phenytoin OR PHT,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
fosphenytoin,ホスフェニトイン,fosphenytoin,fosphenytoin,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ホスフェニトイン OR fosphenytoin OR fosphenytoin OR fPHT,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
valproate,バルプロ酸,valproic acid / sodium valproate,valproate,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,バルプロ酸 OR valproate OR valproic acid / sodium valproate OR VPA OR バルプロ酸ナトリウム,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
carbamazepine,カルバマゼピン,carbamazepine,carbamazepine,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,カルバマゼピン OR carbamazepine OR carbamazepine OR CBZ,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
perampanel,ペランパネル,perampanel,perampanel,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ペランパネル OR perampanel OR perampanel OR PER,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
topiramate,トピラマート,topiramate,topiramate,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,トピラマート OR topiramate OR topiramate OR TPM,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
lamotrigine,ラモトリギン,lamotrigine,lamotrigine,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ラモトリギン OR lamotrigine OR lamotrigine OR LTG,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
zonisamide,ゾニサミド,zonisamide,zonisamide,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ゾニサミド OR zonisamide OR zonisamide OR ZNS,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
clobazam,クロバザム,clobazam,clobazam,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,クロバザム OR clobazam OR clobazam OR CLB,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
diazepam,ジアゼパム,diazepam,diazepam,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ジアゼパム OR diazepam OR diazepam OR DZP,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
lorazepam,ロラゼパム,lorazepam,lorazepam,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,ロラゼパム OR lorazepam OR lorazepam OR LZP,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
phenobarbital,フェノバルビタール,phenobarbital,phenobarbital,抗てんかん薬・抗発作薬,product_candidate,candidate_list_not_facility_confirmed,フェノバルビタール OR phenobarbital OR phenobarbital OR PB,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
warfarin,ワルファリン,warfarin,warfarin,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,ワルファリン OR warfarin OR warfarin OR VKA,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
dabigatran,ダビガトラン,dabigatran,dabigatran,抗凝固薬,product_candidate,candidate_list_not_facility_confirmed,ダビガトラン OR dabigatran OR dabigatran OR direct thrombin inhibitor,https://www.pmda.go.jp/PmdaSearch/iyakuSearch/,,,,,,,unresolved,manual_review_required,2026-05-29,True,True,PMDA製品単位の販売名・製造販売業者・剤形・規格・文書URLは未解決。URL推測禁止。薬剤師による手動確認が必要。
