drug_key,japanese_name,english_name,generic_name,synonyms,drug_class,domain,priority,gap_type,product_examples,efficacy_examples,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,source_ids,last_source_check_date,why
ibudilast,イブジラスト,ibudilast,ibudilast,ケタス|Ketas|脳循環改善薬|PDE阻害薬,慢性脳循環障害改善薬・PDE阻害薬,chronic_post_stroke_symptoms,A,complete_absent,ケタスカプセル等,脳梗塞後遺症に伴う慢性脳循環障害によるめまいの改善,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/ibudilast.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;RADAR_IBUDILAST_PATIENT_INFO,2026-06-03,脳梗塞後遺症めまいの文脈で質問されやすい。急性期脳梗塞治療薬として出してはいけない。
ifenprodil,イフェンプロジル酒石酸塩,ifenprodil tartrate,ifenprodil tartrate,セロクラール|Cerocral|イフェンプロジル,脳循環改善薬,chronic_post_stroke_symptoms,A,complete_absent,セロクラール錠等,脳梗塞後遺症、脳出血後遺症に伴うめまいの改善,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/ifenprodil.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,PMDA_IFENPRODIL_CEROCRAL;PMDA_IFENPRODIL_GENERIC,2026-06-03,脳梗塞後遺症・脳出血後遺症のめまいで重要。頭蓋内出血後止血未完成では禁忌/注意が必要。
nicergoline,ニセルゴリン,nicergoline,nicergoline,サアミオン|Sermion|ニセルゴリン錠,慢性脳循環障害改善薬,chronic_post_stroke_symptoms,A,complete_absent,サアミオン錠等,脳梗塞後遺症に伴う慢性脳循環障害による意欲低下の改善,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/nicergoline.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,PMDA_NICERGOLINE_GENERIC,2026-06-03,脳梗塞後遺症の意欲低下で質問されやすい。急性期治療や認知症万能薬として出してはいけない。
amantadine,アマンタジン塩酸塩,amantadine hydrochloride,amantadine hydrochloride,シンメトレル|Symmetrel|アマンタジン,ドパミン作動系・NMDA関連薬,chronic_post_stroke_symptoms,A,complete_absent,シンメトレル錠等,脳梗塞後遺症に伴う意欲・自発性低下の改善,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/amantadine.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,KEGG_JAPIC_AMANTADINE;PMDA_CURRENT_LABEL_REQUIRED,2026-06-03,腎機能・高齢者・幻覚せん妄・インフルエンザ/パーキンソン病適応との混同が重要。
tiapride,チアプリド,tiapride,tiapride hydrochloride,グラマリール|Gramalil|チアプリド錠,ドパミンD2受容体遮断薬・精神神経症状改善薬,chronic_post_stroke_symptoms,A,complete_absent,グラマリール錠等,脳梗塞後遺症に伴う攻撃的行為、精神興奮、徘徊、せん妄の改善,02_DRUG_PROFILES_SAFE_KNOWLEDGE/chronic_post_stroke_symptoms/tiapride.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,KEGG_JAPIC_TIAPRIDE;JAPIC_TIAPRIDE_PINS,2026-06-03,脳梗塞後遺症の行動症状で使われるが、抗精神病薬様副作用、錐体外路症状、QT、嚥下/転倒リスクを分ける必要がある。
citicoline,シチコリン,citicoline,citicoline,ニコリン|Nicholin|CDP-choline,脳代謝賦活・意識障害改善薬,consciousness_recovery_neurorehab,A,complete_absent,ニコリン注射液等,頭部外傷・脳手術・脳梗塞急性期に伴う意識障害、脳卒中片麻痺患者の上肢機能回復促進など,02_DRUG_PROFILES_SAFE_KNOWLEDGE/consciousness_recovery_neurorehab/citicoline.md,False,unresolved_manual_review_required,active_profile_candidate,True,True,True,PMDA_CITICOLINE_CURRENT_LABEL_REQUIRED,2026-06-03,脳外病棟で意識障害・リハビリ文脈に出る。適応条件が複雑なのでRAGが雑に推奨しないようprofile化する。
meclofenoxate_injection,メクロフェノキサート塩酸塩（注射）,meclofenoxate hydrochloride injection,meclofenoxate hydrochloride,注射用ルシドリール|Lucidril injection,脳代謝賦活・意識障害改善薬,consciousness_recovery_neurorehab,B,complete_absent,注射用ルシドリール,頭部外傷の急性期における意識障害、脳術後の意識障害,02_DRUG_PROFILES_SAFE_KNOWLEDGE/consciousness_recovery_neurorehab/meclofenoxate_injection.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,PMDA_MECLOFENOXATE_CURRENT_LABEL_REQUIRED,2026-06-03,注射と内服で文脈が違う。現行販売・供給・採用確認なしに現役薬として扱うと危険。
meclofenoxate_oral,メクロフェノキサート塩酸塩（内服）,meclofenoxate hydrochloride oral,meclofenoxate hydrochloride,ルシドリール錠|Lucidril tablet,脳代謝賦活・頭部外傷後遺症薬,post_traumatic_brain_injury_sequelae,B,complete_absent,ルシドリール錠等,頭部外傷後遺症におけるめまい,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/meclofenoxate_oral.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_MECLOFENOXATE_CURRENT_LABEL_REQUIRED,2026-06-03,頭部外傷後遺症の古い処方・資料で出る。注射剤と内服剤を分ける必要がある。
solcoseryl_calf_blood_extract,幼牛血液抽出注射剤,deproteinized calf blood extract,calf blood extract preparation,ソルコセリル|Solcoseryl|幼牛血液抽出物,歴史的・組織修復/代謝関連薬,post_traumatic_brain_injury_sequelae,B,complete_absent,ソルコセリル注,頭部外傷後遺症、脳梗塞・脳出血に伴う随伴症状等,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/solcoseryl_calf_blood_extract.md,False,unresolved_manual_review_required,current_status_high_risk_verify_before_use,True,True,True,PMDA_SOLCOSERYL_CURRENT_STATUS_REQUIRED,2026-06-03,現行承認・販売・供給状況の確認が必須。RAGでは推奨薬として出さず、照会時に確認事項を返す。
isoxsuprine,イソクスプリン塩酸塩,isoxsuprine hydrochloride,isoxsuprine hydrochloride,ズファジラン|Duvadilan|イソクスプリン,血管拡張薬・循環改善薬,post_traumatic_brain_injury_sequelae,B,complete_absent,ズファジラン錠等,頭部外傷後遺症に伴う随伴症状,02_DRUG_PROFILES_SAFE_KNOWLEDGE/post_traumatic_brain_injury_sequelae/isoxsuprine.md,False,unresolved_manual_review_required,active_profile_candidate_current_status_must_verify,True,True,True,MHLW_DRUG_CLASSIFICATION_REV13;PMDA_ISOXSUPRINE_CURRENT_LABEL_REQUIRED,2026-06-03,古い頭部外傷後遺症文脈で出る。末梢血管拡張薬としての副作用・低血圧と混同防止が必要。
