drug_key,japanese_name,english_name,generic_name,synonyms,domain,priority,knowledge_layer_status,product_examples,efficacy_or_context_examples,why_added,safety_focus,profile_path,pmda_product_level_verified,source_status,facility_confirmation_required,human_review_required
temozolomide,テモゾロミド,temozolomide,temozolomide,Temodar|TMZ,neuro_oncology,S,active_profile_required,テモダール等,悪性神経膠腫/膠芽腫の放射線併用・維持療法文脈,脳腫瘍薬物療法の中核。V2では最大級の欠落。,骨髄抑制、リンパ球減少、PCP予防、制吐、便秘、HBV、妊孕性,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/temozolomide.md,false,unresolved_manual_review_required,true,true
bevacizumab,ベバシズマブ,bevacizumab,bevacizumab,Avastin|抗VEGF,neuro_oncology,S,active_profile_required,アバスチン等,悪性神経膠腫/再発膠芽腫、腫瘍浮腫・症状改善文脈,脳外周術期の創傷治癒遅延・出血・血栓・高血圧・蛋白尿が高リスク。,周術期休薬、創傷治癒遅延、出血、血栓、高血圧、蛋白尿、消化管穿孔,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/bevacizumab.md,false,unresolved_manual_review_required,true,true
carmustine_wafer,カルムスチン脳内留置用剤 / ギリアデル,carmustine wafer,carmustine wafer,Gliadel|BCNU wafer,neuro_oncology,S,active_profile_required,ギリアデル脳内留置用剤,悪性神経膠腫摘出腔への局所留置,適応が極めて限定的で、RAG誤提示リスクが高い。,脳浮腫、けいれん、感染、髄液漏、創部合併症、最大安全摘出条件,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/carmustine_wafer.md,false,unresolved_manual_review_required,true,true
nimustine_acnu,ニムスチン / ACNU,nimustine,nimustine,ACNU|Nidran,neuro_oncology,A,active_or_historical_context_required,ニドラン等,悪性神経膠腫の国内治療歴・併用療法文脈,国内神経腫瘍で歴史的・施設別に出る。現標準治療との差別化が必要。,骨髄抑制、肺毒性、腎機能、レジメン文脈,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/nimustine_acnu.md,false,unresolved_manual_review_required,true,true
procarbazine,プロカルバジン,procarbazine,procarbazine,PCV,neuro_oncology,A,current_status_must_verify,未確定,PCV療法文脈,乏突起膠腫など国際文脈で必要。国内薬事・入手性確認必須。,MAO阻害様相互作用、骨髄抑制、食事・薬剤相互作用,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/procarbazine.md,false,unresolved_manual_review_required,true,true
lomustine_ccnu,ロムスチン / CCNU,lomustine,lomustine,CCNU|PCV,neuro_oncology,A,current_status_must_verify,未確定,PCV療法文脈,PCV療法の構成薬。国内薬事・入手性確認必須。,遅発性骨髄抑制、肺毒性、肝腎機能,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/lomustine_ccnu.md,false,unresolved_manual_review_required,true,true
vincristine,ビンクリスチン,vincristine,vincristine,Oncovin|VCR,neuro_oncology,A,active_profile_required,オンコビン等,PCV療法、腫瘍薬物療法文脈,神経毒性が脳外患者評価と衝突しやすい。,末梢神経障害、便秘・麻痺性イレウス、髄注禁忌,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/vincristine.md,false,unresolved_manual_review_required,true,true
high_dose_methotrexate,高用量メトトレキサート,methotrexate high-dose,methotrexate high-dose,HD-MTX|MTX,neuro_oncology,S,active_profile_required,メソトレキセート等,原発性中枢神経リンパ腫の高用量MTX療法,腎障害・相互作用・救援療法・尿アルカリ化の漏れが致命的。,ロイコボリン救援、尿アルカリ化、血中濃度、腎機能、NSAIDs/PPI/ペニシリン系相互作用,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/high_dose_methotrexate.md,false,unresolved_manual_review_required,true,true
leucovorin_folinate,ロイコボリン / ホリナート,leucovorin calcium,leucovorin calcium,folinic acid|leucovorin rescue,neuro_oncology,S,active_profile_required,ロイコボリン、ホリナート等,高用量MTX救援療法,HD-MTXとセットで必須。投与遅延は危険。,MTX血中濃度、腎機能、救援量調整、過少投与リスク,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/leucovorin_folinate.md,false,unresolved_manual_review_required,true,true
rituximab,リツキシマブ,rituximab,rituximab,Rituxan|抗CD20,neuro_oncology,A,active_profile_required,リツキサン等,中枢神経原発悪性リンパ腫の併用療法文脈,PCNSLで登場。HBV再活性化・infusion reactionが重要。,HBV再活性化、infusion reaction、感染、PML,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/rituximab.md,false,unresolved_manual_review_required,true,true
cytarabine,シタラビン,cytarabine,cytarabine,Ara-C,neuro_oncology,A,active_profile_required,キロサイド等,PCNSL地固め・髄注/高用量文脈,神経毒性・骨髄抑制・腎機能が重要。,小脳毒性、骨髄抑制、眼障害、髄注/全身投与区別,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/cytarabine.md,false,unresolved_manual_review_required,true,true
thiotepa,チオテパ,thiotepa,thiotepa,Thiotepa,neuro_oncology,A,active_profile_required,リサイオ等,PCNSL移植前処置など,高リスク抗がん薬。施設実施可否とレジメン限定。,骨髄抑制、皮膚毒性、移植前処置、曝露対策,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/thiotepa.md,false,unresolved_manual_review_required,true,true
st_smx_pcp_prophylaxis,ST合剤PCP予防文脈,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,TMP-SMX|co-trimoxazole|PCP,neuro_oncology,A,context_note_required,バクタ等,テモゾロミド放射線併用時などのPCP予防,元候補にあっても、脳腫瘍支持療法として文脈分離が必要。,皮疹、骨髄抑制、高K、腎機能、代替薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/st_smx_pcp_prophylaxis.md,false,unresolved_manual_review_required,true,true
antiemetic_5ht3_context,5-HT3受容体拮抗薬 制吐文脈,5-HT3 receptor antagonists,5-HT3 receptor antagonists,ondansetron|granisetron|palonosetron,neuro_oncology,B,class_context_note_required,オンダンセトロン等,テモゾロミド等の制吐支持療法,抗がん剤支持療法として必要。薬剤個別は院内採用品確認。,QT延長、便秘、制吐リスク分類,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/antiemetic_5ht3_context.md,false,unresolved_manual_review_required,true,true
hbv_reactivation_neurooncology_note,HBV再活性化対策note,HBV reactivation prophylaxis/monitoring,HBV reactivation prophylaxis/monitoring,HBsAg|HBcAb|HBsAb|entecavir|tenofovir,neuro_oncology,A,safety_protocol_note_required,エンテカビル等は別途確認,リツキシマブ・化学療法・ステロイド時のHBV再活性化,脳腫瘍化学療法で見落とすと重大。薬剤個別よりスクリーニング手順が重要。,HBVスクリーニング、核酸アナログ、肝臓専門医連携,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/hbv_reactivation_neurooncology_note.md,false,unresolved_manual_review_required,true,true
cabergoline,カベルゴリン,cabergoline,cabergoline,Cabaser,pituitary_endocrine,S,active_profile_required,カバサール等,プロラクチノーマ,プロラクチノーマ薬物療法の中核。,弁膜症、妊娠、精神症状、低血圧、腫瘍縮小,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/cabergoline.md,false,unresolved_manual_review_required,true,true
bromocriptine,ブロモクリプチン,bromocriptine,bromocriptine,Parlodel,pituitary_endocrine,A,active_profile_required,パーロデル等,プロラクチノーマ、先端巨大症等,カベルゴリン代替・妊娠文脈で必要。,悪心、起立性低血圧、精神症状、妊娠,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/bromocriptine.md,false,unresolved_manual_review_required,true,true
octreotide,オクトレオチド,octreotide,octreotide,Sandostatin,pituitary_endocrine,A,active_profile_required,サンドスタチン等,先端巨大症、消化管ホルモン腫瘍等,ソマトスタチンアナログ文脈。,胆石、血糖変動、徐脈、甲状腺機能,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/octreotide.md,false,unresolved_manual_review_required,true,true
lanreotide,ランレオチド,lanreotide,lanreotide,Somatuline,pituitary_endocrine,A,active_profile_required,ソマチュリン等,先端巨大症等,ソマトスタチンアナログ長時間型。,胆石、血糖変動、注射部位反応,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/lanreotide.md,false,unresolved_manual_review_required,true,true
pasireotide,パシレオチド,pasireotide,pasireotide,Signifor,pituitary_endocrine,A,active_profile_required,シグニフォー等,クッシング病等,高血糖リスクが大きく、下垂体薬として必要。,高血糖、QT延長、肝機能、胆石,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/pasireotide.md,false,unresolved_manual_review_required,true,true
pegvisomant,ペグビソマント,pegvisomant,pegvisomant,Somavert,pituitary_endocrine,A,active_profile_required,ソマバート等,先端巨大症,GH受容体拮抗薬。IGF-1評価が必要。,肝機能、腫瘍増大監視、IGF-1,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/pegvisomant.md,false,unresolved_manual_review_required,true,true
metyrapone,メチラポン,metyrapone,metyrapone,Metopirone,pituitary_endocrine,A,active_profile_required,メトピロン等,クッシング症候群/病,コルチゾール合成阻害薬。副腎不全リスク。,副腎不全、低K、高血圧、アンドロゲン増加,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/metyrapone.md,false,unresolved_manual_review_required,true,true
osilodrostat,オシロドロスタット,osilodrostat,osilodrostat,Isturisa,pituitary_endocrine,A,active_profile_required,イスツリサ等,クッシング病,新規性が高く安全確認が必要。,副腎不全、QT延長、低K、肝機能,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/osilodrostat.md,false,unresolved_manual_review_required,true,true
postop_di_desmopressin_note,術後尿崩症デスモプレシンnote,desmopressin postoperative DI note,desmopressin postoperative DI note,DDAVP|central diabetes insipidus,pituitary_endocrine,A,context_note_required,デスモプレシン製剤,下垂体・頭蓋底術後尿崩症,既存薬剤でも術後DI文脈の安全境界が必要。,水中毒、低Na、投与経路、尿量/Na監視,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/postop_di_desmopressin_note.md,false,unresolved_manual_review_required,true,true
adrenal_insufficiency_stress_steroid_note,副腎不全・周術期ステロイドnote,adrenal insufficiency stress steroid note,adrenal insufficiency stress steroid note,stress dose|hydrocortisone,pituitary_endocrine,A,context_note_required,ヒドロコルチゾン等,下垂体術後・副腎不全・周術期補充,既存ステロイドを文脈分離しないと危険。,副腎クリーゼ、感染、高血糖、漸減,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/adrenal_insufficiency_stress_steroid_note.md,false,unresolved_manual_review_required,true,true
intraventricular_vancomycin_note,バンコマイシン脳室内投与note,intraventricular vancomycin note,intraventricular vancomycin note,IVT vancomycin|intraventricular,healthcare_associated_cns_infection,A,context_or_specialist_note_required,バンコマイシン,脳室炎・シャント感染の特殊投与,静注バンコマイシンと混同不可。施設手順必須。,感染症科/脳外/薬剤部承認、濃度、無菌調製、神経毒性,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/intraventricular_vancomycin_note.md,false,unresolved_manual_review_required,true,true
gentamicin,ゲンタマイシン,gentamicin,gentamicin,gentamycin,healthcare_associated_cns_infection,A,context_or_specialist_note_required,ゲンタシン等,医療関連脳室炎・髄膜炎の特殊使用,脳室内/髄注文脈で出る可能性。,TDM、腎毒性、聴器毒性、投与経路,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/gentamicin.md,false,unresolved_manual_review_required,true,true
