drug_name,drug_class,group,source_section,layer,note_status,not_to_standardize,required_checks,external_check_required,facility_check_required,human_review_required,ai_misread_risk
ワルファリン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,DOAC関連出血と同列に扱わない; INR確認なしに補正候補化しない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
ダビガトラン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,Xa阻害薬と同じ中和薬で扱わない; 腎機能未確認で判断しない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
アピキサバン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,ダビガトランと同じ中和薬で扱わない; PCC代替使用を標準化しない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
リバーロキサバン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,ダビガトランと同じ中和薬で扱わない; PCC代替使用を標準化しない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
エドキサバン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,ダビガトランと同じ中和薬で扱わない; PCC代替使用を標準化しない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
未分画ヘパリン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,flush heparinと治療用heparinを混同しない; DOAC/ワルファリンと同じ中和薬で扱わない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
低分子ヘパリン,抗凝固薬,Anticoagulants,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,腎機能未確認で用量・間隔を固定しない; UFHと完全同一に扱わない,薬剤名; 最終服用/投与時刻; 腎機能; 関連凝固検査; 手術/EVD予定; 出血重症度,yes,yes,yes,very_high
アスピリン,抗血小板薬,Antiplatelets,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,抗血小板薬内服のみで血小板輸血を候補化しない; 抗血小板薬曝露と血小板減少を混同しない; DAPTを公開資料だけで固定候補化しない,薬剤名; DAPT有無; 最終内服時刻; 血小板数; 手術/EVD/穿刺予定,yes,yes,yes,very_high
クロピドグレル,抗血小板薬,Antiplatelets,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,抗血小板薬内服のみで血小板輸血を候補化しない; 抗血小板薬曝露と血小板減少を混同しない; DAPTを公開資料だけで固定候補化しない,薬剤名; DAPT有無; 最終内服時刻; 血小板数; 手術/EVD/穿刺予定,yes,yes,yes,very_high
プラスグレル,抗血小板薬,Antiplatelets,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,抗血小板薬内服のみで血小板輸血を候補化しない; 抗血小板薬曝露と血小板減少を混同しない; DAPTを公開資料だけで固定候補化しない,薬剤名; DAPT有無; 最終内服時刻; 血小板数; 手術/EVD/穿刺予定,yes,yes,yes,very_high
チカグレロル,抗血小板薬,Antiplatelets,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,抗血小板薬内服のみで血小板輸血を候補化しない; 抗血小板薬曝露と血小板減少を混同しない; DAPTを公開資料だけで固定候補化しない,薬剤名; DAPT有無; 最終内服時刻; 血小板数; 手術/EVD/穿刺予定,yes,yes,yes,very_high
シロスタゾール,抗血小板薬,Antiplatelets,付録S2 薬剤クラス詳細調査材料表,Layer2,indexed_note,抗血小板薬内服のみで血小板輸血を候補化しない; 抗血小板薬曝露と血小板減少を混同しない; DAPTを公開資料だけで固定候補化しない,薬剤名; DAPT有無; 最終内服時刻; 血小板数; 手術/EVD/穿刺予定,yes,yes,yes,very_high
