chunk_id,knowledge_file,section_id,facility_confirmation_scope,facility_confirmation_status,required_before_external_ready,evidence_link,blocker,owner_role,last_updated
summary-01,knowledge/01_START_HERE_AND_POSITIONING.md,summary-01,package_positioning_and_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-03,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,summary-03,negative_knowledge_and_high_risk_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-08,knowledge/08_THRESHOLDS_AND_CONDITIONS.md,summary-08,threshold_and_condition_interpretation,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-09,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,summary-09,evidence_and_primary_source_workflow,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-12,knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md,summary-12,ai_error_test_and_validation_scope,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-13,knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,summary-13,audit_and_update_workflow,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-04,knowledge/04_DISEASE_NOTES.md,summary-04,disease_note_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-04-01,knowledge/04_DISEASE_NOTES.md,summary-04-01,disease_note_practical_reasoning_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-05,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,summary-05,drug_class_and_layer2_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-05-01,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,summary-05-01,drug_class_practical_reasoning_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-06,knowledge/06_PATIENT_STATE_NOTES.md,summary-06,patient_state_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-06-01,knowledge/06_PATIENT_STATE_NOTES.md,summary-06-01,patient_state_practical_reasoning_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-07,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,summary-07,procedure_and_perioperative_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-07-01,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,summary-07-01,procedure_practical_reasoning_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-10,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,summary-10,operational_and_facility_checklist_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-10-01,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,summary-10-01,operational_practical_reasoning_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-11,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,summary-11,cds_candidate_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
summary-11-01,knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,summary-11-01,cds_practical_reasoning_boundary,pending_facility_review,yes,,facility_confirmation_pending,operator,unassigned
