drug_key,japanese_name,english_name,drug_class,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,notes
levetiracetam,レベチラセタム,levetiracetam,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/levetiracetam.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能評価、発作型、併用抗発作薬、意識障害との鑑別を確認する。薬剤名だけで有効性不足や増量判断に進まない。
lacosamide,ラコサミド,lacosamide,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/lacosamide.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,心伝導、併用薬、腎機能・肝機能、発作型を確認する。初期治療・追加治療・切替を混同しない。
phenytoin,フェニトイン,phenytoin,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/phenytoin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,TDM、アルブミン、相互作用、剤形、投与経路を分けて確認する。濃度値単独で判断しない。
fosphenytoin,ホスフェニトイン,fosphenytoin,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/fosphenytoin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,フェニトイン換算、投与経路、安全監視、TDMとの関係をoperator-sideで扱う。Custom GPTには数値運用を入れない。
valproate,バルプロ酸,valproic acid / sodium valproate,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/valproate.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,肝機能、血小板、アンモニア、妊娠可能性、相互作用、TDMを分けて確認する。
carbamazepine,カルバマゼピン,carbamazepine,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/carbamazepine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,薬物相互作用、皮膚障害、低Na血症、血液障害、適応と剤形を確認する。
perampanel,ペランパネル,perampanel,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/perampanel.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,精神症状、転倒リスク、併用薬、投与時刻の運用を確認する。
topiramate,トピラマート,topiramate,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/topiramate.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、代謝性アシドーシス、認知機能、体重、相互作用を確認する。
lamotrigine,ラモトリギン,lamotrigine,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/lamotrigine.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,皮膚障害、併用バルプロ酸、漸増設計、製品情報を確認する。
zonisamide,ゾニサミド,zonisamide,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/zonisamide.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,腎機能、発汗障害、食欲・体重、認知機能、相互作用を確認する。
emergency_benzodiazepines,ベンゾジアゼピン系救急薬,benzodiazepines for emergency seizure context,抗てんかん薬・抗発作薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antiepileptics/emergency_benzodiazepines.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,救急薬は製品・投与経路・呼吸循環監視・院内手順に強く依存するため、具体運用はoperator-sideに隔離する。
warfarin,ワルファリン,warfarin,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/warfarin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,VKAとしてDOACと分ける。INR、出血部位、ビタミンK、PCC等は製品・院内手順確認が必要。
dabigatran,ダビガトラン,dabigatran,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/dabigatran.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,直接トロンビン阻害薬としてXa阻害薬と分ける。腎機能、最終服用時刻、イダルシズマブ確認が重要。
apixaban,アピキサバン,apixaban,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/apixaban.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,Xa阻害薬として扱い、ダビガトランと分ける。反転薬・PCC・最終服用時刻・腎機能を分けて確認する。
edoxaban,エドキサバン,edoxaban,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/edoxaban.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,Xa阻害薬として扱い、適応、腎機能、最終服用時刻、反転戦略を分ける。
rivaroxaban,リバーロキサバン,rivaroxaban,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/rivaroxaban.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,Xa阻害薬として扱い、適応、腎機能、服用時刻、反転戦略を分ける。
unfractionated_heparin,未分画ヘパリン,unfractionated heparin,抗凝固薬,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antithrombotics/unfractionated_heparin.md,False,unresolved,custom_gpt_safe_boundary_only,True,True,True,未分画ヘパリンはLMWHやDOACと分ける。aPTT/ACT、プロタミン、術中運用はoperator-side。
