file_path,abbreviation,first_occurrence_section,current_first_use,recommended_first_use,needs_definition,human_review_required,status,reviewer,review_date,notes
GLOBAL,DOAC,package-wide,DOAC,DOAC（直接経口抗凝固薬）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,VKA,package-wide,VKA,VKA（ビタミンK拮抗薬）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,ICH,package-wide,ICH,ICH（脳内出血）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,TBI,package-wide,TBI,TBI（外傷性脳損傷）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,aSAH,package-wide,aSAH,aSAH（動脈瘤性くも膜下出血）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,EVD,package-wide,EVD,EVD（脳室ドレナージ）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,ICP,package-wide,ICP,ICP（頭蓋内圧）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,SCU,package-wide,SCU,SCU（脳卒中ケアユニット）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,ICU,package-wide,ICU,ICU（集中治療室）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,EVT,package-wide,EVT,EVT（血管内治療）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,CDS,package-wide,CDS,CDS（Clinical Decision Support：臨床意思決定支援）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,RAG,package-wide,RAG,RAG（Retrieval-Augmented Generation：検索拡張生成）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,PMDA,package-wide,PMDA,PMDA（医薬品医療機器総合機構）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,MHLW,package-wide,MHLW,MHLW（厚生労働省）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,RMP,package-wide,RMP,RMP（医薬品リスク管理計画）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,TDM,package-wide,TDM,TDM（Therapeutic Drug Monitoring：治療薬物モニタリング）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,PT-INR,package-wide,PT-INR,PT-INR（プロトロンビン時間国際標準比）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,aPTT,package-wide,aPTT,aPTT（活性化部分トロンボプラスチン時間）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,SCr,package-wide,SCr,SCr（血清クレアチニン）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,CrCl,package-wide,CrCl,CrCl（クレアチニンクリアランス）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,eGFR,package-wide,eGFR,eGFR（推算糸球体濾過量）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,DAPT,package-wide,DAPT,DAPT（抗血小板薬2剤併用療法）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,VTE,package-wide,VTE,VTE（静脈血栓塞栓症）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,CNS,package-wide,CNS,CNS（中枢神経系）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,CSF,package-wide,CSF,CSF（脳脊髄液）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,IIH,package-wide,IIH,IIH（特発性頭蓋内圧亢進症）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,ITB,package-wide,ITB,ITB（髄腔内バクロフェン療法）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,DBS,package-wide,DBS,DBS（脳深部刺激療法）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,DI,package-wide,DI,DI（尿崩症）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,GL,package-wide,GL,GL（ガイドライン）,yes,yes,NEEDS_REVIEW,,,
GLOBAL,SOP,package-wide,SOP,SOP（標準作業手順書）,yes,yes,NEEDS_REVIEW,,,
knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,DOAC,high-risk section,DOAC,DOAC（直接経口抗凝固薬）,yes,yes,NEEDS_REVIEW,,,
knowledge/04_DISEASE_NOTES.md,TBI,disease section,TBI,TBI（外傷性脳損傷）,yes,yes,NEEDS_REVIEW,,,
knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,VKA,anticoagulant section,VKA,VKA（ビタミンK拮抗薬）,yes,yes,NEEDS_REVIEW,,,
knowledge/08_THRESHOLDS_AND_CONDITIONS.md,PT-INR,threshold section,PT-INR,PT-INR（プロトロンビン時間国際標準比）,yes,yes,NEEDS_REVIEW,,,
knowledge/11_CDS_CANDIDATE_BOUNDARIES.md,CDS,title,CDS,CDS（Clinical Decision Support：臨床意思決定支援）,yes,yes,NEEDS_REVIEW,,,
