source_path,source_type,category,included_in_package,used_for,knowledge_target,reason_if_excluded,size_bytes,last_review_needed
references/neurosurgery_qc_package/final_qc_manifest.json,json,package_manifest,yes,safety_boundary,knowledge/01_START_HERE_AND_POSITIONING.md,,2565,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/integration_manifest.json,json,integration_manifest,yes,scope_metadata,knowledge/01_START_HERE_AND_POSITIONING.md;knowledge/02_INDEX_AND_NAVIGATION.md,,1977,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/README.md,markdown,package_readme,yes,safety_boundary,knowledge/01_START_HERE_AND_POSITIONING.md,,1020,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/README.md,markdown,vault_readme,yes,safety_boundary,knowledge/01_START_HERE_AND_POSITIONING.md;knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,,2595,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/01_positioning_warnings_negative.md,markdown,upload_bundle,yes,bundle_recomposition,knowledge/01_START_HERE_AND_POSITIONING.md;knowledge/02_INDEX_AND_NAVIGATION.md;knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,,12594,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/02_diseases_patient_states_procedures.md,markdown,upload_bundle,yes,bundle_recomposition,knowledge/04_DISEASE_NOTES.md;knowledge/06_PATIENT_STATE_NOTES.md;knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,,133591,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/03_drugs_drug_classes.md,markdown,upload_bundle,yes,bundle_recomposition,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md;knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,,261623,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,markdown,upload_bundle,yes,bundle_recomposition,knowledge/08_THRESHOLDS_AND_CONDITIONS.md;knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md;knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md;knowledge/11_CDS_CANDIDATE_BOUNDARIES.md;knowledge/12_AI_ERROR_TESTS_AND_VALIDATION.md;knowledge/13_AUDIT_LOGS_AND_UPDATE_OPERATIONS.md,,94128,yes
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/Custom_GPT_Project_Knowledge_RAG投入ガイド.md,markdown,operator_guide,no,reference_only,,not uploaded to avoid spending one of the 20 knowledge slots,3057,no
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/Custom_GPT_System_Instructions_Draft.md,markdown,instructions_draft,yes,operator_instructions,knowledge/01_START_HERE_AND_POSITIONING.md;instructions/custom_gpt_instructions.md,,1921,yes
