drug_key,japanese_name,english_name,generic_name,synonyms,drug_class,domain,priority,gap_type,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,source_ids,last_source_check_date,why,product_examples,efficacy_examples
edaravone,エダラボン,edaravone,edaravone,ラジカット|Radicut|free radical scavenger,脳梗塞急性期・脳保護薬,acute_ischemic_stroke,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/edaravone.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,PMDA_EDARAVONE_RMP_RADICUT,2026-06-03,国内脳梗塞急性期で重要。ALS適応と混同しやすく、脳外Vaultでは脳梗塞急性期文脈を明示分離する必要がある。,,
ozagrel,オザグレルナトリウム,ozagrel sodium,ozagrel sodium,オザグレルNa|カタクロット|キサンボン|ozagrel,TXA2合成酵素阻害薬・抗血小板/脳血管攣縮関連,acute_stroke_sah,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/ozagrel.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025;PMDA_OZAGREL_SAFETY_2019,2026-06-03,脳血栓症急性期とSAH術後脳血管攣縮の2文脈で重要。出血リスク、脳塞栓との鑑別、rt-PA等との併用混同が危険。,,
fasudil,ファスジル塩酸塩,fasudil hydrochloride,fasudil hydrochloride,エリル|fasudil|Rho kinase inhibitor,Rhoキナーゼ阻害薬・SAH術後脳血管攣縮薬,sah_vasospasm,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/fasudil.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025,2026-06-03,SAH術後脳血管攣縮で国内実務上重要。低血圧・頭蓋内出血・投与期間の安全境界を個別化すべき。,,
clazosentan,クラゾセンタンナトリウム,clazosentan sodium,clazosentan sodium,ピヴラッツ|Pivlaz|endothelin receptor antagonist,エンドセリン受容体拮抗薬・SAH術後脳血管攣縮薬,sah_vasospasm,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/clazosentan.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025;PMDA_CLAZOSENTAN_PIVLAZ_REVIEW,2026-06-03,2020年代以降のSAH術後血管攣縮管理で重要度が高い。肝機能・肺水腫/体液貯留・対象患者選択の確認が必要。,,
alteplase,アルテプラーゼ,alteplase,alteplase recombinant,rt-PA|tPA|アクチバシン|グルトパ,血栓溶解薬・急性期虚血性脳血管障害,acute_ischemic_stroke,S,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/alteplase.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025;PMDA_ALTEPLASE_LABEL,2026-06-03,発症時間、画像、除外基準、抗凝固薬、抗アミロイド抗体など安全境界が多く、class扱いは危険。,,
argatroban,アルガトロバン水和物,argatroban,argatroban hydrate,ノバスタン|スロンノン|direct thrombin inhibitor,選択的抗トロンビン薬・急性期脳血栓症,acute_ischemic_stroke,S,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/argatroban.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,PMDA_ARGATROBAN_REEXAM_2020,2026-06-03,国内で発症後48時間以内の脳血栓症急性期文脈がある。脳塞栓、出血、肝機能、併用抗血栓薬の境界管理が必要。,,
urokinase,ウロキナーゼ,urokinase,urokinase,urokinase|線維素溶解酵素剤,血栓溶解薬,acute_ischemic_stroke,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/urokinase.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,PMDA_UROKINASE_SAFETY_2019,2026-06-03,現代標準ではrt-PA/EVT中心だが、脳血栓症/脳塞栓鑑別・線溶薬出血リスクの安全教育上重要。,,
nimodipine,ニモジピン,nimodipine,nimodipine,nimodipine|calcium channel blocker,Ca拮抗薬・SAH国際標準比較対象,sah_vasospasm,A,complete_absent_comparison_needed,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/nimodipine.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025,2026-06-03,欧米SAH管理で頻出。国内薬事・採用品を確認せず日本の処方推奨にしてはいけないが、海外文献/RAG比較で必要。,,
diazepam,ジアゼパム,diazepam,diazepam,セルシン|ホリゾン|benzodiazepine,抗発作薬・てんかん重積初期対応,status_epilepticus,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/diazepam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,救急発作停止で重要。ミダゾラム・ロラゼパムと投与経路/剤形/呼吸抑制管理を混同しないため個別化。,,
lorazepam,ロラゼパム,lorazepam,lorazepam,ワイパックス|benzodiazepine,抗発作薬・てんかん重積初期対応,status_epilepticus,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/lorazepam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,てんかん重積文脈で頻出。国内剤形・施設採用・救急運用に依存するためRAG境界が必要。,,
phenobarbital,フェノバルビタール,phenobarbital,phenobarbital,フェノバール|barbiturate antiseizure,抗発作薬・難治発作,status_epilepticus,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/phenobarbital.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,難治発作・小児/成人の救急文脈で重要。鎮静・呼吸循環抑制・TDMを個別化する必要がある。,,
clobazam,クロバザム,clobazam,clobazam,マイスタン|benzodiazepine antiseizure,抗発作薬・補助療法,status_epilepticus,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/clobazam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,慢性補助抗発作薬として重要。急性発作停止薬と混同しない境界が必要。,,
thiopental,チオペンタールナトリウム,thiopental sodium,thiopental sodium,ラボナール|thiopental|barbiturate coma,バルビツレート・麻酔/難治性ICP,neurocritical_care,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/thiopental.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,難治性ICP/麻酔導入/痙攣重積などで文脈上重要。循環抑制と脳波/ICU管理が必要。,,
