source_id,drug_key,japanese_name,generic_name,product_examples,source_type,url_or_query,verification_status,required_human_action,notes
PMDA_QUERY_IBUDILAST,ibudilast,イブジラスト,ibudilast,ケタスカプセル等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イブジラスト ibudilast ケタスカプセル等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症めまいの文脈で質問されやすい。急性期脳梗塞治療薬として出してはいけない。
PMDA_QUERY_IFENPRODIL,ifenprodil,イフェンプロジル酒石酸塩,ifenprodil tartrate,セロクラール錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イフェンプロジル酒石酸塩 ifenprodil tartrate セロクラール錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症・脳出血後遺症のめまいで重要。頭蓋内出血後止血未完成では禁忌/注意が必要。
PMDA_QUERY_NICERGOLINE,nicergoline,ニセルゴリン,nicergoline,サアミオン錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ニセルゴリン nicergoline サアミオン錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症の意欲低下で質問されやすい。急性期治療や認知症万能薬として出してはいけない。
PMDA_QUERY_AMANTADINE,amantadine,アマンタジン塩酸塩,amantadine hydrochloride,シンメトレル錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 アマンタジン塩酸塩 amantadine hydrochloride シンメトレル錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,腎機能・高齢者・幻覚せん妄・インフルエンザ/パーキンソン病適応との混同が重要。
PMDA_QUERY_TIAPRIDE,tiapride,チアプリド,tiapride hydrochloride,グラマリール錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 チアプリド tiapride hydrochloride グラマリール錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症の行動症状で使われるが、抗精神病薬様副作用、錐体外路症状、QT、嚥下/転倒リスクを分ける必要がある。
PMDA_QUERY_CITICOLINE,citicoline,シチコリン,citicoline,ニコリン注射液等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 シチコリン citicoline ニコリン注射液等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳外病棟で意識障害・リハビリ文脈に出る。適応条件が複雑なのでRAGが雑に推奨しないようprofile化する。
PMDA_QUERY_MECLOFENOXATE_INJECTION,meclofenoxate_injection,メクロフェノキサート塩酸塩（注射）,meclofenoxate hydrochloride,注射用ルシドリール,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 メクロフェノキサート塩酸塩（注射） meclofenoxate hydrochloride 注射用ルシドリール 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,注射と内服で文脈が違う。現行販売・供給・採用確認なしに現役薬として扱うと危険。
PMDA_QUERY_MECLOFENOXATE_ORAL,meclofenoxate_oral,メクロフェノキサート塩酸塩（内服）,meclofenoxate hydrochloride,ルシドリール錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 メクロフェノキサート塩酸塩（内服） meclofenoxate hydrochloride ルシドリール錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,頭部外傷後遺症の古い処方・資料で出る。注射剤と内服剤を分ける必要がある。
PMDA_QUERY_SOLCOSERYL_CALF_BLOOD_EXTRACT,solcoseryl_calf_blood_extract,幼牛血液抽出注射剤,calf blood extract preparation,ソルコセリル注,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 幼牛血液抽出注射剤 calf blood extract preparation ソルコセリル注 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,現行承認・販売・供給状況の確認が必須。RAGでは推奨薬として出さず、照会時に確認事項を返す。
PMDA_QUERY_ISOXSUPRINE,isoxsuprine,イソクスプリン塩酸塩,isoxsuprine hydrochloride,ズファジラン錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イソクスプリン塩酸塩 isoxsuprine hydrochloride ズファジラン錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,古い頭部外傷後遺症文脈で出る。末梢血管拡張薬としての副作用・低血圧と混同防止が必要。
