source_path,target_knowledge_file,transformation_type,coverage_scope,safety_notes
references/neurosurgery_qc_package/final_qc_manifest.json,knowledge/01_START_HERE_AND_POSITIONING.md,boundary_preservation,package_safety_principles,do not weaken disclaimer or governance boundaries
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/integration_manifest.json,knowledge/01_START_HERE_AND_POSITIONING.md,scope_normalization,integrated_scope_summary,preserve cross-vault scope and non-guideline framing
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/integration_manifest.json,knowledge/02_INDEX_AND_NAVIGATION.md,index_recomposition,top_level_inventory,preserve navigation only and avoid turning index into clinical recommendation
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/README.md,knowledge/01_START_HERE_AND_POSITIONING.md,boundary_preservation,package_positioning,retain not-a-guideline and not-a-procedure messaging
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/README.md,knowledge/01_START_HERE_AND_POSITIONING.md,boundary_preservation,vault_positioning,retain RAG safety framing
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/01_positioning_warnings_negative.md,knowledge/01_START_HERE_AND_POSITIONING.md,bundle_split,positioning_and_global_warning,high-risk warnings outrank drug-name pattern matching
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/01_positioning_warnings_negative.md,knowledge/02_INDEX_AND_NAVIGATION.md,bundle_split,index_extraction,navigation file must stay non-clinical
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/01_positioning_warnings_negative.md,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,bundle_split,negative_knowledge_and_global_warnings,prevent short-circuit answers from names alone
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/08_Negative_Knowledge/Layer2薬剤_標準化しない事項.md,knowledge/03_HIGH_RISK_WARNINGS_AND_NEGATIVE_KNOWLEDGE.md,direct_guardrail_import,drug_level_negative_knowledge,standardization prohibitions must stay explicit
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/02_diseases_patient_states_procedures.md,knowledge/04_DISEASE_NOTES.md,bundle_split,disease_notes,disease note does not authorize a specific drug by itself
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/03_drugs_drug_classes.md,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,bundle_split,drug_classes_and_layer2_agents,separate class caution from facility availability
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/layer1_drug_notes_master.csv,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,master_csv_summarization,layer1_high_risk_drug_list,retain high-risk flags and required checks
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/layer2_indexed_drug_master.csv,knowledge/05_DRUG_CLASS_AND_LAYER2_DRUG_NOTES.md,master_csv_summarization,indexed_drug_search_helpers,do not infer approval or stocking from CSV presence
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/02_diseases_patient_states_procedures.md,knowledge/06_PATIENT_STATE_NOTES.md,bundle_split,patient_state_notes,patient state must remain independent from disease labels
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/02_diseases_patient_states_procedures.md,knowledge/07_PROCEDURE_AND_PERIOPERATIVE_NOTES.md,bundle_split,procedure_and_perioperative_notes,procedure timing changes the answer and must stay explicit
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,knowledge/08_THRESHOLDS_AND_CONDITIONS.md,bundle_split,threshold_and_time_condition_notes,thresholds are conditions not recommendations
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/CSV_Masters/conditions_thresholds_audit_master.csv,knowledge/08_THRESHOLDS_AND_CONDITIONS.md,master_csv_summarization,threshold_inventory,avoid inventing numeric cutoffs not present in source
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,bundle_split,evidence_and_primary_source_checks,evidence does not substitute for domestic regulatory review
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/PMDA電子添文チェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,pmda_checklist,always preserve PMDA-first domestic check
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/RMP_安全性情報チェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,safety_information_checklist,preserve safety-update requirement
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/周術期抗菌薬_感染制御チェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,perioperative_antimicrobial_checklist,do not merge prophylaxis and treatment
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Primary_Source_Checklists/輸血療法関連指針チェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,transfusion_guideline_checklist,separate antiplatelet exposure from thrombocytopenia
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/Guideline_Checklists/国内脳卒中GLチェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,domestic_guideline_checklist,domestic guidance must outrank foreign generalization
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/CRASH-3チェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,tbi_txa_evidence,do not extrapolate outside TBI time window
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/TICH-2チェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,spontaneous_ich_txa_evidence,do not turn evidence into routine institutional procedure
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/12_Evidence/RCT_Checklists/ULTRAチェックリスト.md,knowledge/09_EVIDENCE_AND_PRIMARY_SOURCE_CHECKLISTS.md,direct_checklist_import,sah_related_evidence,preserve uncertainty where implementation is not source-confirmed
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/99_Exports/Upload_Bundles/04_evidence_operations_cds_audit_tests.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,bundle_split,facility_operational_checks,facility feasibility is separate from source mention
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Committee_Approval/委員会承認チェックリスト.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,direct_checklist_import,committee_approval_checks,high-risk workflow needs explicit approval gating
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Formulary_Stock/施設採用品_夜間休日在庫チェックリスト.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,direct_checklist_import,formulary_and_stock_checks,never assume stocking from source presence
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Nursing_Monitoring/看護観察体制チェックリスト.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,direct_checklist_import,nursing_monitoring_checks,unit-level monitoring matters for hyperosmolar therapy and transfusion
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Pharmacy_Workflow/薬剤部調製_払い出しチェックリスト.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,direct_checklist_import,pharmacy_workflow_checks,preserve dispensing and preparation constraints
references/neurosurgery_qc_package/neurosurgery_integrated_safe_rag_package/Integrated_Obsidian_Vault/10_Operationalization/Transfusion_Workflow/輸血部運用チェックリスト.md,knowledge/10_OPERATIONAL_AND_FACILITY_CHECKLISTS.md,direct_checklist_import,transfusion_workflow_checks,preserve turnaround and contact-flow constraints
